id,infinitive,definition,mood,subject,tense,answer
70,abanderar,"to register, to champion",Subjunctive,nosotros,Present,abanderemos
71,abanderar,"to register, to champion",Subjunctive,nosotros,Imperfect,abanderáramos
72,abanderar,"to register, to champion",Subjunctive,nosotros,Imperfect 2,abanderásemos
73,abanderar,"to register, to champion",Subjunctive,nosotros,Future,abanderáremos
74,abanderar,"to register, to champion",Subjunctive,vosotros,Present,abanderéis
75,abanderar,"to register, to champion",Subjunctive,vosotros,Imperfect,abanderarais
76,abanderar,"to register, to champion",Subjunctive,vosotros,Imperfect 2,abanderaseis
77,abanderar,"to register, to champion",Subjunctive,vosotros,Future,abanderareis
78,abanderar,"to register, to champion",Subjunctive,ellos,Present,abanderen
79,abanderar,"to register, to champion",Subjunctive,ellas,Present,abanderen
80,abanderar,"to register, to champion",Subjunctive,Uds.,Present,abanderen
81,abanderar,"to register, to champion",Subjunctive,ellos,Imperfect,abanderaran
82,abanderar,"to register, to champion",Subjunctive,ellas,Imperfect,abanderaran
83,abanderar,"to register, to champion",Subjunctive,Uds.,Imperfect,abanderaran
84,abanderar,"to register, to champion",Subjunctive,ellos,Imperfect 2,abanderasen
85,abanderar,"to register, to champion",Subjunctive,ellas,Imperfect 2,abanderasen
86,abanderar,"to register, to champion",Subjunctive,Uds.,Imperfect 2,abanderasen
87,abanderar,"to register, to champion",Subjunctive,ellos,Future,abanderaren
88,abanderar,"to register, to champion",Subjunctive,ellas,Future,abanderaren
89,abanderar,"to register, to champion",Subjunctive,Uds.,Future,abanderaren
90,abanderar,"to register, to champion",Imperative,tú,Affirmative,abandera
91,abanderar,"to register, to champion",Imperative,tú,Negative,no abanderes
92,abanderar,"to register, to champion",Imperative,Ud.,Affirmative,abandere
93,abanderar,"to register, to champion",Imperative,Ud.,Negative,no abandere
94,abanderar,"to register, to champion",Imperative,nosotros,Affirmative,abanderemos
95,abanderar,"to register, to champion",Imperative,nosotros,Negative,no abanderemos
96,abanderar,"to register, to champion",Imperative,vosotros,Affirmative,abanderad
97,abanderar,"to register, to champion",Imperative,vosotros,Negative,no abanderéis
98,abanderar,"to register, to champion",Imperative,Uds.,Affirmative,abanderen
99,abanderar,"to register, to champion",Imperative,Uds.,Negative,no abanderen
100,abanderar,"to register, to champion",Continuous (Progressive),yo,Present,estoy abanderando
101,abanderar,"to register, to champion",Continuous (Progressive),yo,Preterite,estuve abanderando
102,abanderar,"to register, to champion",Continuous (Progressive),yo,Imperfect,estaba abanderando
103,abanderar,"to register, to champion",Continuous (Progressive),yo,Conditional,estaría abanderando
104,abanderar,"to register, to champion",Continuous (Progressive),yo,Future,estaré abanderando
105,abanderar,"to register, to champion",Continuous (Progressive),tú,Present,estás abanderando
106,abanderar,"to register, to champion",Continuous (Progressive),tú,Preterite,estuviste abanderando
107,abanderar,"to register, to champion",Continuous (Progressive),tú,Imperfect,estabas abanderando
108,abanderar,"to register, to champion",Continuous (Progressive),tú,Conditional,estarías abanderando
109,abanderar,"to register, to champion",Continuous (Progressive),tú,Future,estarás abanderando
110,abanderar,"to register, to champion",Continuous (Progressive),él,Present,está abanderando
111,abanderar,"to register, to champion",Continuous (Progressive),ella,Present,está abanderando
112,abanderar,"to register, to champion",Continuous (Progressive),Ud.,Present,está abanderando
113,abanderar,"to register, to champion",Continuous (Progressive),él,Preterite,estuvo abanderando
114,abanderar,"to register, to champion",Continuous (Progressive),ella,Preterite,estuvo abanderando
115,abanderar,"to register, to champion",Continuous (Progressive),Ud.,Preterite,estuvo abanderando
116,abanderar,"to register, to champion",Continuous (Progressive),él,Imperfect,estaba abanderando
117,abanderar,"to register, to champion",Continuous (Progressive),ella,Imperfect,estaba abanderando
118,abanderar,"to register, to champion",Continuous (Progressive),Ud.,Imperfect,estaba abanderando
119,abanderar,"to register, to champion",Continuous (Progressive),él,Conditional,estaría abanderando
120,abanderar,"to register, to champion",Continuous (Progressive),ella,Conditional,estaría abanderando
121,abanderar,"to register, to champion",Continuous (Progressive),Ud.,Conditional,estaría abanderando
122,abanderar,"to register, to champion",Continuous (Progressive),él,Future,estará abanderando
123,abanderar,"to register, to champion",Continuous (Progressive),ella,Future,estará abanderando
124,abanderar,"to register, to champion",Continuous (Progressive),Ud.,Future,estará abanderando
125,abanderar,"to register, to champion",Continuous (Progressive),nosotros,Present,estamos abanderando
126,abanderar,"to register, to champion",Continuous (Progressive),nosotros,Preterite,estuvimos abanderando
127,abanderar,"to register, to champion",Continuous (Progressive),nosotros,Imperfect,estábamos abanderando
128,abanderar,"to register, to champion",Continuous (Progressive),nosotros,Conditional,estaríamos abanderando
129,abanderar,"to register, to champion",Continuous (Progressive),nosotros,Future,estaremos abanderando
130,abanderar,"to register, to champion",Continuous (Progressive),vosotros,Present,estáis abanderando
131,abanderar,"to register, to champion",Continuous (Progressive),vosotros,Preterite,estuvisteis abanderando
132,abanderar,"to register, to champion",Continuous (Progressive),vosotros,Imperfect,estabais abanderando
133,abanderar,"to register, to champion",Continuous (Progressive),vosotros,Conditional,estaríais abanderando
134,abanderar,"to register, to champion",Continuous (Progressive),vosotros,Future,estaréis abanderando
135,abanderar,"to register, to champion",Continuous (Progressive),ellos,Present,están abanderando
136,abanderar,"to register, to champion",Continuous (Progressive),ellas,Present,están abanderando
137,abanderar,"to register, to champion",Continuous (Progressive),Uds.,Present,están abanderando
138,abanderar,"to register, to champion",Continuous (Progressive),ellos,Preterite,estuvieron abanderando
139,abanderar,"to register, to champion",Continuous (Progressive),ellas,Preterite,estuvieron abanderando
140,abanderar,"to register, to champion",Continuous (Progressive),Uds.,Preterite,estuvieron abanderando
141,abanderar,"to register, to champion",Continuous (Progressive),ellos,Imperfect,estaban abanderando
142,abanderar,"to register, to champion",Continuous (Progressive),ellas,Imperfect,estaban abanderando
143,abanderar,"to register, to champion",Continuous (Progressive),Uds.,Imperfect,estaban abanderando
144,abanderar,"to register, to champion",Continuous (Progressive),ellos,Conditional,estarían abanderando
145,abanderar,"to register, to champion",Continuous (Progressive),ellas,Conditional,estarían abanderando
146,abanderar,"to register, to champion",Continuous (Progressive),Uds.,Conditional,estarían abanderando
147,abanderar,"to register, to champion",Continuous (Progressive),ellos,Future,estarán abanderando
148,abanderar,"to register, to champion",Continuous (Progressive),ellas,Future,estarán abanderando
149,abanderar,"to register, to champion",Continuous (Progressive),Uds.,Future,estarán abanderando
150,abanderar,"to register, to champion",Perfect,yo,Present,he abanderado
151,abanderar,"to register, to champion",Perfect,yo,Preterite,hube abanderado
152,abanderar,"to register, to champion",Perfect,yo,Past,había abanderado
153,abanderar,"to register, to champion",Perfect,yo,Conditional,habría abanderado
154,abanderar,"to register, to champion",Perfect,yo,Future,habré abanderado
155,abanderar,"to register, to champion",Perfect,tú,Present,has abanderado
156,abanderar,"to register, to champion",Perfect,tú,Preterite,hubiste abanderado
157,abanderar,"to register, to champion",Perfect,tú,Past,habías abanderado
158,abanderar,"to register, to champion",Perfect,tú,Conditional,habrías abanderado
159,abanderar,"to register, to champion",Perfect,tú,Future,habrás abanderado
160,abanderar,"to register, to champion",Perfect,él,Present,ha abanderado
161,abanderar,"to register, to champion",Perfect,ella,Present,ha abanderado
162,abanderar,"to register, to champion",Perfect,Ud.,Present,ha abanderado
163,abanderar,"to register, to champion",Perfect,él,Preterite,hubo abanderado
164,abanderar,"to register, to champion",Perfect,ella,Preterite,hubo abanderado
165,abanderar,"to register, to champion",Perfect,Ud.,Preterite,hubo abanderado
166,abanderar,"to register, to champion",Perfect,él,Past,había abanderado
167,abanderar,"to register, to champion",Perfect,ella,Past,había abanderado
168,abanderar,"to register, to champion",Perfect,Ud.,Past,había abanderado
169,abanderar,"to register, to champion",Perfect,él,Conditional,habría abanderado
170,abanderar,"to register, to champion",Perfect,ella,Conditional,habría abanderado
171,abanderar,"to register, to champion",Perfect,Ud.,Conditional,habría abanderado
172,abanderar,"to register, to champion",Perfect,él,Future,habrá abanderado
173,abanderar,"to register, to champion",Perfect,ella,Future,habrá abanderado
174,abanderar,"to register, to champion",Perfect,Ud.,Future,habrá abanderado
175,abanderar,"to register, to champion",Perfect,nosotros,Present,hemos abanderado
176,abanderar,"to register, to champion",Perfect,nosotros,Preterite,hubimos abanderado
177,abanderar,"to register, to champion",Perfect,nosotros,Past,habíamos abanderado
178,abanderar,"to register, to champion",Perfect,nosotros,Conditional,habríamos abanderado
179,abanderar,"to register, to champion",Perfect,nosotros,Future,habremos abanderado
180,abanderar,"to register, to champion",Perfect,vosotros,Present,habéis abanderado
181,abanderar,"to register, to champion",Perfect,vosotros,Preterite,hubisteis abanderado
182,abanderar,"to register, to champion",Perfect,vosotros,Past,habíais abanderado
183,abanderar,"to register, to champion",Perfect,vosotros,Conditional,habríais abanderado
184,abanderar,"to register, to champion",Perfect,vosotros,Future,habréis abanderado
185,abanderar,"to register, to champion",Perfect,ellos,Present,han abanderado
186,abanderar,"to register, to champion",Perfect,ellas,Present,han abanderado
187,abanderar,"to register, to champion",Perfect,Uds.,Present,han abanderado
188,abanderar,"to register, to champion",Perfect,ellos,Preterite,hubieron abanderado
189,abanderar,"to register, to champion",Perfect,ellas,Preterite,hubieron abanderado
190,abanderar,"to register, to champion",Perfect,Uds.,Preterite,hubieron abanderado
191,abanderar,"to register, to champion",Perfect,ellos,Past,habían abanderado
192,abanderar,"to register, to champion",Perfect,ellas,Past,habían abanderado
193,abanderar,"to register, to champion",Perfect,Uds.,Past,habían abanderado
194,abanderar,"to register, to champion",Perfect,ellos,Conditional,habrían abanderado
195,abanderar,"to register, to champion",Perfect,ellas,Conditional,habrían abanderado
196,abanderar,"to register, to champion",Perfect,Uds.,Conditional,habrían abanderado
197,abanderar,"to register, to champion",Perfect,ellos,Future,habrán abanderado
198,abanderar,"to register, to champion",Perfect,ellas,Future,habrán abanderado
199,abanderar,"to register, to champion",Perfect,Uds.,Future,habrán abanderado
200,abanderar,"to register, to champion",Perfect Subjunctive,yo,Present,haya abanderado
201,abanderar,"to register, to champion",Perfect Subjunctive,yo,Past,hubiera abanderado
202,abanderar,"to register, to champion",Perfect Subjunctive,yo,Future,hubiere abanderado
203,abanderar,"to register, to champion",Perfect Subjunctive,tú,Present,hayas abanderado
204,abanderar,"to register, to champion",Perfect Subjunctive,tú,Past,hubieras abanderado
205,abanderar,"to register, to champion",Perfect Subjunctive,tú,Future,hubieres abanderado
206,abanderar,"to register, to champion",Perfect Subjunctive,él,Present,haya abanderado
207,abanderar,"to register, to champion",Perfect Subjunctive,ella,Present,haya abanderado
208,abanderar,"to register, to champion",Perfect Subjunctive,Ud.,Present,haya abanderado
209,abanderar,"to register, to champion",Perfect Subjunctive,él,Past,hubiera abanderado
210,abanderar,"to register, to champion",Perfect Subjunctive,ella,Past,hubiera abanderado
211,abanderar,"to register, to champion",Perfect Subjunctive,Ud.,Past,hubiera abanderado
212,abanderar,"to register, to champion",Perfect Subjunctive,él,Future,hubiere abanderado
213,abanderar,"to register, to champion",Perfect Subjunctive,ella,Future,hubiere abanderado
214,abanderar,"to register, to champion",Perfect Subjunctive,Ud.,Future,hubiere abanderado
215,abanderar,"to register, to champion",Perfect Subjunctive,nosotros,Present,hayamos abanderado
216,abanderar,"to register, to champion",Perfect Subjunctive,nosotros,Past,hubiéramos abanderado
217,abanderar,"to register, to champion",Perfect Subjunctive,nosotros,Future,hubiéremos abanderado
218,abanderar,"to register, to champion",Perfect Subjunctive,vosotros,Present,hayáis abanderado
219,abanderar,"to register, to champion",Perfect Subjunctive,vosotros,Past,hubierais abanderado
220,abanderar,"to register, to champion",Perfect Subjunctive,vosotros,Future,hubiereis abanderado
221,abanderar,"to register, to champion",Perfect Subjunctive,ellos,Present,hayan abanderado
222,abanderar,"to register, to champion",Perfect Subjunctive,ellas,Present,hayan abanderado
223,abanderar,"to register, to champion",Perfect Subjunctive,Uds.,Present,hayan abanderado
224,abanderar,"to register, to champion",Perfect Subjunctive,ellos,Past,hubieran abanderado
225,abanderar,"to register, to champion",Perfect Subjunctive,ellas,Past,hubieran abanderado
226,abanderar,"to register, to champion",Perfect Subjunctive,Uds.,Past,hubieran abanderado
227,abanderar,"to register, to champion",Perfect Subjunctive,ellos,Future,hubieren abanderado
228,abanderar,"to register, to champion",Perfect Subjunctive,ellas,Future,hubieren abanderado
229,abanderar,"to register, to champion",Perfect Subjunctive,Uds.,Future,hubieren abanderado
230,registrar,to search,Indicative,yo,Present,registro
231,registrar,to search,Indicative,yo,Preterite,registré
232,registrar,to search,Indicative,yo,Imperfect,registraba
233,registrar,to search,Indicative,yo,Conditional,registraría
234,registrar,to search,Indicative,yo,Future,registraré
235,registrar,to search,Indicative,tú,Present,registras
236,registrar,to search,Indicative,tú,Preterite,registraste
237,registrar,to search,Indicative,tú,Imperfect,registrabas
238,registrar,to search,Indicative,tú,Conditional,registrarías
239,registrar,to search,Indicative,tú,Future,registrarás
240,registrar,to search,Indicative,él,Present,registra
241,registrar,to search,Indicative,ella,Present,registra
242,registrar,to search,Indicative,Ud.,Present,registra
243,registrar,to search,Indicative,él,Preterite,registró
244,registrar,to search,Indicative,ella,Preterite,registró
245,registrar,to search,Indicative,Ud.,Preterite,registró
246,registrar,to search,Indicative,él,Imperfect,registraba
247,registrar,to search,Indicative,ella,Imperfect,registraba
248,registrar,to search,Indicative,Ud.,Imperfect,registraba
249,registrar,to search,Indicative,él,Conditional,registraría
250,registrar,to search,Indicative,ella,Conditional,registraría
251,registrar,to search,Indicative,Ud.,Conditional,registraría
252,registrar,to search,Indicative,él,Future,registrará
253,registrar,to search,Indicative,ella,Future,registrará
254,registrar,to search,Indicative,Ud.,Future,registrará
255,registrar,to search,Indicative,nosotros,Present,registramos
256,registrar,to search,Indicative,nosotros,Preterite,registramos
257,registrar,to search,Indicative,nosotros,Imperfect,registrábamos
258,registrar,to search,Indicative,nosotros,Conditional,registraríamos
259,registrar,to search,Indicative,nosotros,Future,registraremos
260,registrar,to search,Indicative,vosotros,Present,registráis
261,registrar,to search,Indicative,vosotros,Preterite,registrasteis
262,registrar,to search,Indicative,vosotros,Imperfect,registrabais
263,registrar,to search,Indicative,vosotros,Conditional,registraríais
264,registrar,to search,Indicative,vosotros,Future,registraréis
265,registrar,to search,Indicative,ellos,Present,registran
266,registrar,to search,Indicative,ellas,Present,registran
267,registrar,to search,Indicative,Uds.,Present,registran
268,registrar,to search,Indicative,ellos,Preterite,registraron
269,registrar,to search,Indicative,ellas,Preterite,registraron
270,registrar,to search,Indicative,Uds.,Preterite,registraron
271,registrar,to search,Indicative,ellos,Imperfect,registraban
272,registrar,to search,Indicative,ellas,Imperfect,registraban
273,registrar,to search,Indicative,Uds.,Imperfect,registraban
274,registrar,to search,Indicative,ellos,Conditional,registrarían
275,registrar,to search,Indicative,ellas,Conditional,registrarían
276,registrar,to search,Indicative,Uds.,Conditional,registrarían
277,registrar,to search,Indicative,ellos,Future,registrarán
278,registrar,to search,Indicative,ellas,Future,registrarán
279,registrar,to search,Indicative,Uds.,Future,registrarán
280,registrar,to search,Subjunctive,yo,Present,registre
281,registrar,to search,Subjunctive,yo,Imperfect,registrara
282,registrar,to search,Subjunctive,yo,Imperfect 2,registrase
283,registrar,to search,Subjunctive,yo,Future,registrare
284,registrar,to search,Subjunctive,tú,Present,registres
285,registrar,to search,Subjunctive,tú,Imperfect,registraras
286,registrar,to search,Subjunctive,tú,Imperfect 2,registrases
287,registrar,to search,Subjunctive,tú,Future,registrares
288,registrar,to search,Subjunctive,él,Present,registre
289,registrar,to search,Subjunctive,ella,Present,registre
290,registrar,to search,Subjunctive,Ud.,Present,registre
291,registrar,to search,Subjunctive,él,Imperfect,registrara
292,registrar,to search,Subjunctive,ella,Imperfect,registrara
293,registrar,to search,Subjunctive,Ud.,Imperfect,registrara
294,registrar,to search,Subjunctive,él,Imperfect 2,registrase
295,registrar,to search,Subjunctive,ella,Imperfect 2,registrase
296,registrar,to search,Subjunctive,Ud.,Imperfect 2,registrase
297,registrar,to search,Subjunctive,él,Future,registrare
298,registrar,to search,Subjunctive,ella,Future,registrare
299,registrar,to search,Subjunctive,Ud.,Future,registrare
300,registrar,to search,Subjunctive,nosotros,Present,registremos
301,registrar,to search,Subjunctive,nosotros,Imperfect,registráramos
302,registrar,to search,Subjunctive,nosotros,Imperfect 2,registrásemos
303,registrar,to search,Subjunctive,nosotros,Future,registráremos
304,registrar,to search,Subjunctive,vosotros,Present,registréis
305,registrar,to search,Subjunctive,vosotros,Imperfect,registrarais
306,registrar,to search,Subjunctive,vosotros,Imperfect 2,registraseis
307,registrar,to search,Subjunctive,vosotros,Future,registrareis
308,registrar,to search,Subjunctive,ellos,Present,registren
309,registrar,to search,Subjunctive,ellas,Present,registren
310,registrar,to search,Subjunctive,Uds.,Present,registren
311,registrar,to search,Subjunctive,ellos,Imperfect,registraran
312,registrar,to search,Subjunctive,ellas,Imperfect,registraran
313,registrar,to search,Subjunctive,Uds.,Imperfect,registraran
314,registrar,to search,Subjunctive,ellos,Imperfect 2,registrasen
315,registrar,to search,Subjunctive,ellas,Imperfect 2,registrasen
316,registrar,to search,Subjunctive,Uds.,Imperfect 2,registrasen
317,registrar,to search,Subjunctive,ellos,Future,registraren
318,registrar,to search,Subjunctive,ellas,Future,registraren
319,registrar,to search,Subjunctive,Uds.,Future,registraren
320,registrar,to search,Imperative,tú,Affirmative,registra
321,registrar,to search,Imperative,tú,Negative,no registres
322,registrar,to search,Imperative,Ud.,Affirmative,registre
323,registrar,to search,Imperative,Ud.,Negative,no registre
324,registrar,to search,Imperative,nosotros,Affirmative,registremos
325,registrar,to search,Imperative,nosotros,Negative,no registremos
326,registrar,to search,Imperative,vosotros,Affirmative,registrad
327,registrar,to search,Imperative,vosotros,Negative,no registréis
328,registrar,to search,Imperative,Uds.,Affirmative,registren
329,registrar,to search,Imperative,Uds.,Negative,no registren
330,registrar,to search,Continuous (Progressive),yo,Present,estoy registrando
331,registrar,to search,Continuous (Progressive),yo,Preterite,estuve registrando
332,registrar,to search,Continuous (Progressive),yo,Imperfect,estaba registrando
333,registrar,to search,Continuous (Progressive),yo,Conditional,estaría registrando
334,registrar,to search,Continuous (Progressive),yo,Future,estaré registrando
335,registrar,to search,Continuous (Progressive),tú,Present,estás registrando
336,registrar,to search,Continuous (Progressive),tú,Preterite,estuviste registrando
337,registrar,to search,Continuous (Progressive),tú,Imperfect,estabas registrando
338,registrar,to search,Continuous (Progressive),tú,Conditional,estarías registrando
339,registrar,to search,Continuous (Progressive),tú,Future,estarás registrando
340,registrar,to search,Continuous (Progressive),él,Present,está registrando
341,registrar,to search,Continuous (Progressive),ella,Present,está registrando
342,registrar,to search,Continuous (Progressive),Ud.,Present,está registrando
343,registrar,to search,Continuous (Progressive),él,Preterite,estuvo registrando
344,registrar,to search,Continuous (Progressive),ella,Preterite,estuvo registrando
345,registrar,to search,Continuous (Progressive),Ud.,Preterite,estuvo registrando
346,registrar,to search,Continuous (Progressive),él,Imperfect,estaba registrando
347,registrar,to search,Continuous (Progressive),ella,Imperfect,estaba registrando
348,registrar,to search,Continuous (Progressive),Ud.,Imperfect,estaba registrando
349,registrar,to search,Continuous (Progressive),él,Conditional,estaría registrando
350,registrar,to search,Continuous (Progressive),ella,Conditional,estaría registrando
351,registrar,to search,Continuous (Progressive),Ud.,Conditional,estaría registrando
352,registrar,to search,Continuous (Progressive),él,Future,estará registrando
353,registrar,to search,Continuous (Progressive),ella,Future,estará registrando
354,registrar,to search,Continuous (Progressive),Ud.,Future,estará registrando
355,registrar,to search,Continuous (Progressive),nosotros,Present,estamos registrando
356,registrar,to search,Continuous (Progressive),nosotros,Preterite,estuvimos registrando
357,registrar,to search,Continuous (Progressive),nosotros,Imperfect,estábamos registrando
358,registrar,to search,Continuous (Progressive),nosotros,Conditional,estaríamos registrando
359,registrar,to search,Continuous (Progressive),nosotros,Future,estaremos registrando
360,registrar,to search,Continuous (Progressive),vosotros,Present,estáis registrando
361,registrar,to search,Continuous (Progressive),vosotros,Preterite,estuvisteis registrando
362,registrar,to search,Continuous (Progressive),vosotros,Imperfect,estabais registrando
363,registrar,to search,Continuous (Progressive),vosotros,Conditional,estaríais registrando
364,registrar,to search,Continuous (Progressive),vosotros,Future,estaréis registrando
365,registrar,to search,Continuous (Progressive),ellos,Present,están registrando
366,registrar,to search,Continuous (Progressive),ellas,Present,están registrando
367,registrar,to search,Continuous (Progressive),Uds.,Present,están registrando
368,registrar,to search,Continuous (Progressive),ellos,Preterite,estuvieron registrando
369,registrar,to search,Continuous (Progressive),ellas,Preterite,estuvieron registrando
370,registrar,to search,Continuous (Progressive),Uds.,Preterite,estuvieron registrando
371,registrar,to search,Continuous (Progressive),ellos,Imperfect,estaban registrando
372,registrar,to search,Continuous (Progressive),ellas,Imperfect,estaban registrando
373,registrar,to search,Continuous (Progressive),Uds.,Imperfect,estaban registrando
374,registrar,to search,Continuous (Progressive),ellos,Conditional,estarían registrando
375,registrar,to search,Continuous (Progressive),ellas,Conditional,estarían registrando
376,registrar,to search,Continuous (Progressive),Uds.,Conditional,estarían registrando
377,registrar,to search,Continuous (Progressive),ellos,Future,estarán registrando
378,registrar,to search,Continuous (Progressive),ellas,Future,estarán registrando
379,registrar,to search,Continuous (Progressive),Uds.,Future,estarán registrando
380,registrar,to search,Perfect,yo,Present,he registrado
381,registrar,to search,Perfect,yo,Preterite,hube registrado
382,registrar,to search,Perfect,yo,Past,había registrado
383,registrar,to search,Perfect,yo,Conditional,habría registrado
384,registrar,to search,Perfect,yo,Future,habré registrado
385,registrar,to search,Perfect,tú,Present,has registrado
386,registrar,to search,Perfect,tú,Preterite,hubiste registrado
387,registrar,to search,Perfect,tú,Past,habías registrado
388,registrar,to search,Perfect,tú,Conditional,habrías registrado
389,registrar,to search,Perfect,tú,Future,habrás registrado
390,registrar,to search,Perfect,él,Present,ha registrado
391,registrar,to search,Perfect,ella,Present,ha registrado
392,registrar,to search,Perfect,Ud.,Present,ha registrado
393,registrar,to search,Perfect,él,Preterite,hubo registrado
394,registrar,to search,Perfect,ella,Preterite,hubo registrado
395,registrar,to search,Perfect,Ud.,Preterite,hubo registrado
396,registrar,to search,Perfect,él,Past,había registrado
397,registrar,to search,Perfect,ella,Past,había registrado
398,registrar,to search,Perfect,Ud.,Past,había registrado
399,registrar,to search,Perfect,él,Conditional,habría registrado
400,registrar,to search,Perfect,ella,Conditional,habría registrado
401,registrar,to search,Perfect,Ud.,Conditional,habría registrado
402,registrar,to search,Perfect,él,Future,habrá registrado
403,registrar,to search,Perfect,ella,Future,habrá registrado
404,registrar,to search,Perfect,Ud.,Future,habrá registrado
405,registrar,to search,Perfect,nosotros,Present,hemos registrado
406,registrar,to search,Perfect,nosotros,Preterite,hubimos registrado
407,registrar,to search,Perfect,nosotros,Past,habíamos registrado
408,registrar,to search,Perfect,nosotros,Conditional,habríamos registrado
409,registrar,to search,Perfect,nosotros,Future,habremos registrado
410,registrar,to search,Perfect,vosotros,Present,habéis registrado
